Mots;Polarite
adapte;1
adaptee;1
agreable;1
apprecie;1
beau;1
bel;1
bien;1
bien fini;1
canape;1
chaleureuse;1
chaleureux;1
chic;1
classe;1
confort;1
confortable;1
convient;1
coriace;1
correct;1
cosy;1
discret;1
douceur;1
douillet;1
efficace;1
elegance;1
elegant;1
equilibree;1
esthetique;1
expression;1
facile;1
facile a laver;1
facile d'entretien;1
ideal;1
interessant;1
interessante;1
j'adore;1
j'aime;1
joli;1
jolie;1
leger;1
luxe;1
luxueux;1
moderne;1
naturel;1
passe partout;1
praticite;1
pratique;1
premium;1
propre;1
qualitatif;1
qualite;1
raffine;1
rembourre;1
resistance;1
resistant;1
sobre;1
solide;1
solidite;1
sophistique;1
souplesse;1
soyeux;1
sportwear;1
structuree;1
sympa;1
tenir dans le temps;1
tenue;1
tenue dans le temps;1
uni;1
brillant;0
cuir;0
dense;0
design;0
douce;0
doux;0
dur;0
enduit;0
epais;0
epure;0
fin;0
imite;0
lisse;0
mailles;0
matiere;0
moelleux;0
original;0
rien de spécial;0
rigide;0
rigidite;0
simple;0
souple;0
stries;0
texture;0
tisse;0
tissu;0
toucher;0
trame;0
velours;0
abime;-1
abimer;-1
accroche;-1
acrylique;-1
amere;-1
ancien;-1
bas de gamme;-1
basique;-1
bizarre;-1
chaud;-1
cheap;-1
classique;-1
collant;-1
coronneux;-1
coton;-1
dechire;-1
deplaisant;-1
desagreable;-1
difficile a entretenir;-1
difficile d'entretien;-1
elabore;-1
elastique;-1
fade;-1
faux cuir;-1
feutrine;-1
fibres;-1
fragile;-1
glisse;-1
grasse;-1
gratte;-1
grince sous les doigts;-1
grossier;-1
inconfortable;-1
industriel;-1
kitch;-1
laineux;-1
maux;-1
moche;-1
moquette;-1
mou;-1
mousse;-1
moutons;-1
neutre;-1
nul;-1
peau morte;-1
peluche;-1
pelucheux;-1
perd ses poils;-1
plastique;-1
plissure;-1
poilu;-1
poisseuse;-1
poussiere;-1
quelconque;-1
raide;-1
rapeux;-1
raye;-1
reche;-1
relief;-1
rugueux;-1
s'abime;-1
saletes;-1
salissant;-1
sec;-1
simili cuir;-1
spongieux;-1
synthetique;-1
tapis;-1
terne;-1
use;-1
vertige;-1
vieillot;-1
vieux;-1
viscose;-1
