"Plate","Judge","Words"
"plate1","judge1","animal--fox--head"
"plate1","judge10","dance--two--negative--people--very"
"plate1","judge11","jaws"
"plate1","judge12","start--evolution--end--point--sort"
"plate1","judge13","angel--evolution--end"
"plate1","judge14","big--spot"
"plate1","judge15","two--insect--middle--flight--flight"
"plate1","judge16","aerial--angel--two--black--flight"
"plate1","judge17","blouse--female--louisxvi--dress--time"
"plate1","judge18","two--insect--point--symmetry"
"plate1","judge19","animal--bursting--death"
"plate1","judge2","animal--flattened--monstrous--stylized--face"
"plate1","judge20","animal--living"
"plate1","judge3","basin--bone"
"plate1","judge4","people"
"plate1","judge5","angel--black--people--all"
"plate1","judge6","angel--people"
"plate1","judge7","flight"
"plate1","judge8","shape--high"
"plate1","judge9","animal--dissection"
"plate10","judge1","animal--head"
"plate10","judge10","positive"
"plate10","judge11","mask--very"
"plate10","judge12","evolution--middle--point--sort"
"plate10","judge13","apart"
"plate10","judge14","female"
"plate10","judge15","animal--colour--flower--head"
"plate10","judge16","colour--people--very"
"plate10","judge17","blouse--colour--female--louisxvi--dress--time--very"
"plate10","judge18","animal--crustaceans--fire--see_horse--sea--sea"
"plate10","judge19","nothing--head"
"plate10","judge2","monstrous--stylized--face"
"plate10","judge20","crustaceans--two--death--people"
"plate10","judge3","sea"
"plate10","judge4","crustaceans--nothing"
"plate10","judge5","colour"
"plate10","judge6","monstrous"
"plate10","judge7","sea"
"plate10","judge8","basin--colour"
"plate10","judge9","positive--very"
"plate2","judge1","animal--cat--complete--head"
"plate2","judge10","dance--two--grey--people--positive--very"
"plate2","judge11","mouth--jaws"
"plate2","judge12","basin--evolution--middle--bone--point--sort"
"plate2","judge13","bursting"
"plate2","judge14",""
"plate2","judge15","dragon--flight"
"plate2","judge16","black--red"
"plate2","judge17","basin--centre--hollow--bone"
"plate2","judge18","symmetry"
"plate2","judge19","two--face--hands--people"
"plate2","judge2","animal--stylized--face"
"plate2","judge20","ribs--two--foetus--"
"plate2","judge3","basin--colour--black--bone--red"
"plate2","judge4","people"
"plate2","judge5","colour--child--people"
"plate2","judge6","animal--animal--two--flight"
"plate2","judge7","mouth--nothing"
"plate2","judge8","basin--shape--high--bone"
"plate2","judge9","wolf--mask"
"plate3","judge1","animal--complete--crushed"
"plate3","judge10","two--female--positive"
"plate3","judge11","mouth--insect--pieces"
"plate3","judge12","two--face--people"
"plate3","judge13","bursting"
"plate3","judge14","cut--two--people"
"plate3","judge15","apart--insect"
"plate3","judge16","black--red"
"plate3","judge17","basin--centre--hollow--bone"
"plate3","judge18","shape--people"
"plate3","judge19","dance--two--face--people"
"plate3","judge2","animal--monstrous--stylized--face"
"plate3","judge20","adult--ribs--dance--dance--female--"
"plate3","judge3","colour--black--red"
"plate3","judge4","people"
"plate3","judge5","colour"
"plate3","judge6","female--people"
"plate3","judge7","mouth--insect--butterfly--coins--predator"
"plate3","judge8","basin--shape--high--bone"
"plate3","judge9","animal--dissection"
"plate4","judge1","animal--complete--crushed"
"plate4","judge10","bat--positive--flight"
"plate4","judge11","animal--skin"
"plate4","judge12","start--dragon--evolution--point--sort"
"plate4","judge13","evolution--average"
"plate4","judge14","animal--dissection--spread--very"
"plate4","judge15","animal--skinned--mammal--legs--flight"
"plate4","judge16","aerial--black--flight"
"plate4","judge17","centre--complete--complex--shocking--black"
"plate4","judge18","two--insect--point--symmetry"
"plate4","judge19","animal--crushed--death--rat"
"plate4","judge2","animal"
"plate4","judge20","animal--big--living"
"plate4","judge3","dissection"
"plate4","judge4","animal"
"plate4","judge5","animal--cat"
"plate4","judge6","animal--crushed"
"plate4","judge7","above--monstrous--vision"
"plate4","judge8","shape--high--monstrous"
"plate4","judge9","animal--dissection"
"plate5","judge1","animal--bat--complete--crushed"
"plate5","judge10","monstrous--negative--very"
"plate5","judge11","bat--very"
"plate5","judge12","bat"
"plate5","judge13",""
"plate5","judge14","animal--bat--dissection--spread--little"
"plate5","judge15","flower--butterfly"
"plate5","judge16","aerial--bat--black--flight"
"plate5","judge17","centre--bat--complete--shocking--black--very"
"plate5","judge18","bat"
"plate5","judge19","insect--butterfly"
"plate5","judge2",""
"plate5","judge20","animal--bat--living"
"plate5","judge3","bat"
"plate5","judge4","animal--insect"
"plate5","judge5","bat--black--all"
"plate5","judge6","animal--bat--flight"
"plate5","judge7","bat"
"plate5","judge8","bat"
"plate5","judge9","bat--flight"
"plate6","judge1",""
"plate6","judge10","negative--black--little"
"plate6","judge11","animal--skin"
"plate6","judge12","animal--spread--evolution--end--legs--skin--point--sort"
"plate6","judge13","bat--start--evolution"
"plate6","judge14","animal--dissection--spread--average"
"plate6","judge15","animal--skinned--rat"
"plate6","judge16","water--black--landscape--reflection"
"plate6","judge17","centre--complete--complex--shocking--average--black"
"plate6","judge18","animal--small"
"plate6","judge19","animal--death--rat"
"plate6","judge2","flight"
"plate6","judge20","animal--cat--crushed--death"
"plate6","judge3","dissection--bunny--fox"
"plate6","judge4","animal--insect"
"plate6","judge5","animal--black--skin--all"
"plate6","judge6","animal--cat--crushed"
"plate6","judge7","above--wolf--monstrous--vision"
"plate6","judge8","shape--high--face"
"plate6","judge9","dragon--flight"
"plate7","judge1","shape"
"plate7","judge10","animal--child--positive--very"
"plate7","judge11","mouth--insect--pieces"
"plate7","judge12","basin--two--bunny--bone"
"plate7","judge13","bursting--nothing"
"plate7","judge14","cut--two"
"plate7","judge15","apart"
"plate7","judge16","water--black--landscape--reflection"
"plate7","judge17","basin--centre--hollow--bone"
"plate7","judge18","shape--people"
"plate7","judge19","kiss--two--face--people"
"plate7","judge2","flight"
"plate7","judge20","child--"
"plate7","judge3","two--bunny"
"plate7","judge4","people"
"plate7","judge5","grey--hands--people"
"plate7","judge6","bone--people"
"plate7","judge7","bunny--ears"
"plate7","judge8","shape--high--head"
"plate7","judge9","nothing"
"plate8","judge1","shape"
"plate8","judge10","mouth--negative--ears--people"
"plate8","judge11","jaws"
"plate8","judge12","nothing"
"plate8","judge13","opening"
"plate8","judge14","colour"
"plate8","judge15","flower"
"plate8","judge16","colour--water--reflection"
"plate8","judge17","blouse--female--louisxvi--dress--time"
"plate8","judge18","two--insect--point--symmetry"
"plate8","judge19","two--big--big--insect--vision"
"plate8","judge2","monstrous--stylized--face"
"plate8","judge20","adult--ribs--two--"
"plate8","judge3","see_horse--nothing"
"plate8","judge4","flower"
"plate8","judge5","animal--mammal"
"plate8","judge6","animal--two--bone--butterfly--small--flight"
"plate8","judge7","insect"
"plate8","judge8","head"
"plate8","judge9","animal--water--mammal--reflection"
"plate9","judge1","animal--cat"
"plate9","judge10","kiss--two--elephant--positive"
"plate9","judge11","nothing"
"plate9","judge12",""
"plate9","judge13","opening"
"plate9","judge14","colour--big--spot"
"plate9","judge15","flower"
"plate9","judge16","colour--water--average--reflection"
"plate9","judge17","colour--head--very"
"plate9","judge18","two--two--foetus--insect--point--symmetry"
"plate9","judge19","insect--vision"
"plate9","judge2","monstrous--stylized--face"
"plate9","judge20","animal--dragon--fire--living"
"plate9","judge3","two--sea"
"plate9","judge4","flower"
"plate9","judge5","animal--colour--crustaceans"
"plate9","judge6","animal--elephant"
"plate9","judge7","mouth--coins--predator"
"plate9","judge8","colour"
"plate9","judge9","animal--water"
